Title,Link
A01:2021-Broken Access Control,https://owasp.org/Top10/A01_2021-Broken_Access_Control/
A02:2021-Cryptographic Failures,https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
A03:2021-Injection,https://owasp.org/Top10/A03_2021-Injection/
A04:2021-Insecure Design,https://owasp.org/Top10/A04_2021-Insecure_Design/
A05:2021-Security Misconfiguration,https://owasp.org/Top10/A05_2021-Security_Misconfiguration/
A06:2021-Vulnerable and Outdated Components,https://owasp.org/Top10/A06_2021-Vulnerable_and_Outdated_Components/
A07:2021-Identification and Authentication Failures,https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures/
A08:2021-Software and Data Integrity Failures,https://owasp.org/Top10/A08_2021-Software_and_Data_Integrity_Failures/
A09:2021-Security Logging and Monitoring Failures,https://owasp.org/Top10/A09_2021-Security_Logging_and_Monitoring_Failures/
A10:2021-Server-Side Request Forgery,https://owasp.org/Top10/A10_2021-Server-Side_Request_Forgery_%28SSRF%29/
,https://owasp.org/Top10/ar/
,https://owasp.org/Top10/es/
,https://owasp.org/Top10/fr/
,https://owasp.org/Top10/id/
,https://owasp.org/Top10/it/
,https://owasp.org/Top10/ja/
,https://owasp.org/Top10/pt_BR/
,https://owasp.org/Top10/zh_CN/
,https://owasp.org/Top10/zh_TW/
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10_2017_%E4%B8%AD%E6%96%87%E7%89%88v1.3.pdf
,https://wiki.owasp.org/index.php/User:Jie_Wang
,https://github.com/OWASP/Top10/tree/master/2017/fr
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017_de_V1.0.pdf
,https://owasp.org/www-project-top-ten/2017/de/
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP-Top-10-2017-he.pdf
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP-Top-10-2017-he.pptx
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017%28ja%29.pdf
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017-ko.pdf
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017-ko.pptx
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017-pt_pt.pdf
,https://github.com/OWASP/Top10/raw/master/2017/OWASP%20Top%2010-2017-pt_pt.odp
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP%20Top%2010-2017-ru.pdf
,https://github.com/JZDLin
,https://github.com/hamster4n
,https://github.com/KvanTTT
,https://wiki.owasp.org/index.php/User:Taras_Ivashchenko
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP-Top-10-2017-es.pdf
,https://wiki.owasp.org/index.php/User:Gerardo_Canedo
,https://wiki.owasp.org/index.php/User:Cristian_Borghello
,https://www.owasp.org/images/d/d6/OWASP_Top_10_2017%EF%BC%88RC2%EF%BC%89%E4%B8%AD%E6%96%87%E7%89%88%EF%BC%88%E5%8F%91%E5%B8%83%E7%89%88%EF%BC%89.pdf
,https://www.owasp.org/images/6/6a/OWASP_TOP_10_2013_Arabic.pdf
,https://www.owasp.org/images/5/51/OWASP_Top_10_2013-Chinese-V1.2.pdf
,https://www.owasp.org/images/f/f3/OWASP_Top_10_-_2013_Final_-_Czech_V1.1.pdf
,https://www.owasp.org/images/0/02/OWASP_Top_10_-_2013_Final_-_Czech_V1.1.pptx
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202013%20-%20French.pdf
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10_2013_DE_Version_1_0.pdf
,https://wiki.owasp.org/index.php/User:Kai_Jendrian
,https://wiki.owasp.org/index.php/User:Ralf_Reinhardt
,https://wiki.owasp.org/index.php/OWASP_Top10_Hebrew
,https://www.owasp.org/images/1/1b/OWASP_Top_10_2013-Hebrew.pdf
,https://www.owasp.org/images/c/c9/OWASP_Top_10_-_2013_-_Italiano.pdf
,https://www.owasp.org/images/7/79/OWASP_Top_10_2013_JPN.pdf
,https://www.owasp.org/images/2/2c/OWASP_Top_10_-_2013_Final_-_Korean.pdf
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP_Top_10_-_2013_Brazilian_Portuguese.pdf
,https://www.owasp.org/images/5/5f/OWASP_Top_10_-_2013_Final_-_Espa%C3%B1ol.pdf
,https://www.owasp.org/images/e/e3/OWASP_Top_10_-_2013_Final_Ukrainian.pdf
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202010%20Korean.pdf
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202010%20Spanish.pdf
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202010%20French.pdf
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASPTop10_2010_DE_Version_1_0.pdf
,https://wiki.owasp.org/index.php/User:Kai_Jendrian
,https://wiki.owasp.org/index.php/https://wiki.owasp.org/index.php/User:Ralf_Reinhardt
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202010%20Indonesian.pdf
,https://www.owasp.org/images/f/f9/OWASP_Top_10_-_2010_ITA.pdf
,https://torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASP%20Top%2010%20-%202010%20Japanese-A4.pdf
,https://www.owasp.org/images/a/a9/OWASP_Top_10_2010_Chinese_V1.0_Released.pdf
,https://owasp.org/www-project-top-ten/torage.googleapis.com/google-code-archive-downloads/v2/code.google.com/owasptop10/OWASPTop%2010%20-%202010%20Vietnamese.pdf
,https://wiki.owasp.org/index.php/OWASP_Top10_Hebrew
,https://www.owasp.org/images/c/cd/OWASP_Top_10_Heb.pdf
,https://bit.ly/OWASPTop10Data
,https://owasp.org/
,https://owasp.org/projects/
,https://owasp.org/chapters/
,https://owasp.org/events/
,https://owasp.org/about/
PRIVACY,https://owasp.org/www-policy/operational/privacy
SITEMAP,https://owasp.org/sitemap/
CONTACT,https://owasp.org/contact/
